"opencomputers:adapter:0","适配器"
"opencomputers:assembler:0","装配器"
"opencomputers:cable:0","线缆"
"opencomputers:capacitor:0","电容"
"opencomputers:case1:0","基础机箱"
"opencomputers:case3:0","超级机箱"
"opencomputers:case2:0","高级机箱"
"opencomputers:chameliumblock:0","变色块"
"opencomputers:charger:0","充电器"
"opencomputers:disassembler:0","分解器"
"opencomputers:diskdrive:0","软盘驱动器"
"opencomputers:geolyzer:0","地质分析仪"
"opencomputers:hologram1:0","基础全息地图投影仪"
"opencomputers:hologram2:0","高级全息地图投影仪"
"opencomputers:keyboard:0","键盘"
"opencomputers:motionsensor:0","运动传感器"
"opencomputers:powerconverter:0","能量转换器"
"opencomputers:powerdistributor:0","能量分配器"
"opencomputers:printer:0","3D打印机"
"opencomputers:raid:0","Raid硬盘阵列"
"opencomputers:redstone:0","红石I/O端口"
"opencomputers:relay:0","中继器"
"opencomputers:screen1:0","基础显示屏"
"opencomputers:screen3:0","超级显示屏"
"opencomputers:screen2:0","高级显示屏"
"opencomputers:rack:0","机架"
"opencomputers:waypoint:0","路径点"
"opencomputers:casecreative:0","创造模式机箱"
"opencomputers:endstone:0","末地石"
"opencomputers:netsplitter:0","网络分配器"
"opencomputers:transposer:0","转换器"
"opencomputers:carpetedcapacitor:0","地毯式电容"
"opencomputers:material:1","蚀刻药水"
"opencomputers:material:10","算逻运算单元(ALU)"
"opencomputers:material:15","方向键"
"opencomputers:material:14","按钮组"
"opencomputers:material:5","基板"
"opencomputers:material:28","变色材料"
"opencomputers:material:11","控制单元(CU)"
"opencomputers:material:0","切割线"
"opencomputers:material:29","钻石芯片"
"opencomputers:material:12","磁碟"
"opencomputers:material:23","基础无人机外壳"
"opencomputers:material:24","高级无人机外壳"
"opencomputers:material:25","创造无人机外壳"
"opencomputers:material:27","墨盒"
"opencomputers:material:26","墨盒(空)"
"opencomputers:material:13","因特网"
"opencomputers:material:7","简易微芯片"
"opencomputers:material:8","高级微芯片"
"opencomputers:material:9","超级微芯片"
"opencomputers:material:20","基础微控制器外壳"
"opencomputers:material:21","高级微控制器外壳"
"opencomputers:material:22","创造微控制器外壳"
"opencomputers:material:16","数字键盘"
"opencomputers:material:4","印刷电路板(PCB)"
"opencomputers:material:2","未加工电路板"
"opencomputers:material:17","平板电脑保护套T1"
"opencomputers:material:18","平板电脑保护套T2"
"opencomputers:material:19","平板电脑保护套T3"
"opencomputers:material:6","晶体管"
"opencomputers:tool:0","分析器"
"opencomputers:tool:1","网络调试器"
"opencomputers:tool:4","开放式电脑使用手册"
