"openmodularturrets:intermediate_tiered:0","传感器（一级）"
"openmodularturrets:intermediate_tiered:1","传感器（二级）"
"openmodularturrets:intermediate_tiered:2","传感器（三级）"
"openmodularturrets:intermediate_tiered:3","传感器（四级）"
"openmodularturrets:intermediate_tiered:4","传感器（五级）"
"openmodularturrets:intermediate_tiered:5","弹膛（一级）"
"openmodularturrets:intermediate_tiered:6","弹膛（二级）"
"openmodularturrets:intermediate_tiered:7","弹膛（三级）"
"openmodularturrets:intermediate_tiered:8","弹膛（四级）"
"openmodularturrets:intermediate_tiered:9","弹膛（五级）"
"openmodularturrets:intermediate_tiered:10","炮管（一级）"
"openmodularturrets:intermediate_tiered:11","炮管（二级）"
"openmodularturrets:intermediate_tiered:12","炮管（三级）"
"openmodularturrets:intermediate_tiered:13","炮管（四级）"
"openmodularturrets:intermediate_tiered:14","炮管（五级）"
"openmodularturrets:intermediate_regular:0","IO总线"
"openmodularturrets:addon_meta:0","附件-炮塔隐形"
"openmodularturrets:addon_meta:1","附件-攻击增强"
"openmodularturrets:addon_meta:2","附件-能量vis转换"
"openmodularturrets:addon_meta:3","附件-弹药循环"
"openmodularturrets:addon_meta:4","附件-红石能源芯片"
"openmodularturrets:addon_meta:5","附件-串行端口"
"openmodularturrets:addon_meta:6","附件-太阳能芯片"
"openmodularturrets:addon_meta:7","附件-模拟玩家掉落"
"openmodularturrets:upgrade_meta:0","升级组件-精准"
"openmodularturrets:upgrade_meta:1","升级组件-效率"
"openmodularturrets:upgrade_meta:2","升级组件-射速"
"openmodularturrets:upgrade_meta:3","升级组件-范围"
"openmodularturrets:upgrade_meta:4","升级组件-散射"
"openmodularturrets:ammo_meta:0","弹药-燃烧弹"
"openmodularturrets:ammo_meta:1","弹药-子弹"
"openmodularturrets:ammo_meta:2","弹药-铁磁弹"
"openmodularturrets:ammo_meta:3","手榴弹"
"openmodularturrets:ammo_meta:4","弹药-制导火箭"
"openmodularturrets:usable_meta:0","投射型子弹"
"openmodularturrets:usable_meta:1","投射型榴弹"
"openmodularturrets:usable_meta:2","炮塔记忆卡"
"openmodularturrets:turret_base:0","炮塔基座（一级）"
"openmodularturrets:turret_base:1","炮塔基座（二级）"
"openmodularturrets:turret_base:2","炮塔基座（三级）"
"openmodularturrets:turret_base:3","炮塔基座（四级）"
"openmodularturrets:turret_base:4","炮塔基座（五级）"
"openmodularturrets:expander:0","基座存储扩容（一级）"
"openmodularturrets:expander:1","基座存储扩容（二级）"
"openmodularturrets:expander:2","基座存储扩容（三级）"
"openmodularturrets:expander:3","基座存储扩容（四级）"
"openmodularturrets:expander:4","基座存储扩容（五级）"
"openmodularturrets:expander:5","基座能量扩容（一级）"
"openmodularturrets:expander:6","基座能量扩容（二级）"
"openmodularturrets:expander:7","基座能量扩容（三级）"
"openmodularturrets:expander:8","基座能量扩容（四级）"
"openmodularturrets:expander:9","基座能量扩容（五级）"
"openmodularturrets:base_addon:0","基座附件（掉落清道夫）"
"openmodularturrets:disposable_item_turret:0","低级投射炮塔"
"openmodularturrets:potato_cannon_turret:0","土豆加农炮塔"
"openmodularturrets:machine_gun_turret:0","机关枪炮塔"
"openmodularturrets:incendiary_turret:0","燃烧弹炮塔"
"openmodularturrets:grenade_turret:0","榴弹发射炮塔"
"openmodularturrets:relativistic_turret:0","相位力场炮塔"
"openmodularturrets:rocket_turret:0","火箭发射炮塔"
"openmodularturrets:teleporter_turret:0","传送炮塔"
"openmodularturrets:laser_turret:0","激光炮塔"
"openmodularturrets:rail_gun_turret:0","磁轨炮炮塔"
"openmodularturrets:lever_block:0","炮塔基座曲柄"
