"projectred-illumination:lamp:0","白色灯"
"projectred-illumination:lamp:1","橙色灯"
"projectred-illumination:lamp:2","品红色灯"
"projectred-illumination:lamp:3","淡蓝色灯"
"projectred-illumination:lamp:4","黄色灯"
"projectred-illumination:lamp:5","黄绿色灯"
"projectred-illumination:lamp:6","粉色灯"
"projectred-illumination:lamp:7","灰色灯"
"projectred-illumination:lamp:8","淡灰色灯"
"projectred-illumination:lamp:9","青色灯"
"projectred-illumination:lamp:10","紫色灯"
"projectred-illumination:lamp:11","蓝色灯"
"projectred-illumination:lamp:12","棕色灯"
"projectred-illumination:lamp:13","绿色灯"
"projectred-illumination:lamp:14","红色灯"
"projectred-illumination:lamp:15","黑色灯"
"projectred-illumination:lamp:16","反相白色灯"
"projectred-illumination:lamp:17","反相橙色灯"
"projectred-illumination:lamp:18","反相品红色灯"
"projectred-illumination:lamp:19","反相淡蓝色灯"
"projectred-illumination:lamp:20","反相黄色灯"
"projectred-illumination:lamp:21","反相黄绿色灯"
"projectred-illumination:lamp:22","反相粉色灯"
"projectred-illumination:lamp:23","反相灰色灯"
"projectred-illumination:lamp:24","反相淡灰色灯"
"projectred-illumination:lamp:25","反相青色灯"
"projectred-illumination:lamp:26","反相紫色灯"
"projectred-illumination:lamp:27","反相蓝色灯"
"projectred-illumination:lamp:28","反相棕色灯"
"projectred-illumination:lamp:29","反相绿色灯"
"projectred-illumination:lamp:30","反相红色灯"
"projectred-illumination:lamp:31","反相黑色灯"
"projectred-illumination:light_button:0","白色照明按钮"
"projectred-illumination:light_button:1","橙色照明按钮"
"projectred-illumination:light_button:2","品红色照明按钮"
"projectred-illumination:light_button:3","淡蓝色照明按钮"
"projectred-illumination:light_button:4","黄色照明按钮"
"projectred-illumination:light_button:5","黄绿色照明按钮"
"projectred-illumination:light_button:6","粉色照明按钮"
"projectred-illumination:light_button:7","灰色照明按钮"
"projectred-illumination:light_button:8","淡灰色照明按钮"
"projectred-illumination:light_button:9","青色照明按钮"
"projectred-illumination:light_button:10","紫色照明按钮"
"projectred-illumination:light_button:11","蓝色照明按钮"
"projectred-illumination:light_button:12","棕色照明按钮"
"projectred-illumination:light_button:13","绿色照明按钮"
"projectred-illumination:light_button:14","红色照明按钮"
"projectred-illumination:light_button:15","黑色照明按钮"
"projectred-illumination:feedback_light_button:0","白色照明反馈按钮"
"projectred-illumination:feedback_light_button:1","橙色照明反馈按钮"
"projectred-illumination:feedback_light_button:2","品红色照明反馈按钮"
"projectred-illumination:feedback_light_button:3","淡蓝色照明反馈按钮"
"projectred-illumination:feedback_light_button:4","黄色照明反馈按钮"
"projectred-illumination:feedback_light_button:5","黄绿色照明反馈按钮"
"projectred-illumination:feedback_light_button:6","粉色照明反馈按钮"
"projectred-illumination:feedback_light_button:7","灰色照明反馈按钮"
"projectred-illumination:feedback_light_button:8","淡灰色照明反馈按钮"
"projectred-illumination:feedback_light_button:9","青色照明反馈按钮"
"projectred-illumination:feedback_light_button:10","紫色照明反馈按钮"
"projectred-illumination:feedback_light_button:11","蓝色照明反馈按钮"
"projectred-illumination:feedback_light_button:12","棕色照明反馈按钮"
"projectred-illumination:feedback_light_button:13","绿色照明反馈按钮"
"projectred-illumination:feedback_light_button:14","红色照明反馈按钮"
"projectred-illumination:feedback_light_button:15","黑色照明反馈按钮"
"projectred-illumination:lantern:0","白色灯笼"
"projectred-illumination:lantern:1","橙色灯笼"
"projectred-illumination:lantern:2","品红色灯笼"
"projectred-illumination:lantern:3","淡蓝色灯笼"
"projectred-illumination:lantern:4","黄色灯笼"
"projectred-illumination:lantern:5","黄绿色灯笼"
"projectred-illumination:lantern:6","粉色灯笼"
"projectred-illumination:lantern:7","灰色灯笼"
"projectred-illumination:lantern:8","淡灰色灯笼"
"projectred-illumination:lantern:9","青色灯笼"
"projectred-illumination:lantern:10","紫色灯笼"
"projectred-illumination:lantern:11","蓝色灯笼"
"projectred-illumination:lantern:12","棕色灯笼"
"projectred-illumination:lantern:13","绿色灯笼"
"projectred-illumination:lantern:14","红色灯笼"
"projectred-illumination:lantern:15","黑色灯笼"
"projectred-illumination:inverted_lantern:0","反相白色灯笼"
"projectred-illumination:inverted_lantern:1","反相橙色灯笼"
"projectred-illumination:inverted_lantern:2","反相品红色灯笼"
"projectred-illumination:inverted_lantern:3","反相淡蓝色灯笼"
"projectred-illumination:inverted_lantern:4","反相黄色灯笼"
"projectred-illumination:inverted_lantern:5","反相黄绿色灯笼"
"projectred-illumination:inverted_lantern:6","反相粉色灯笼"
"projectred-illumination:inverted_lantern:7","反相灰色灯笼"
"projectred-illumination:inverted_lantern:8","反相淡灰色灯笼"
"projectred-illumination:inverted_lantern:9","反相青色灯笼"
"projectred-illumination:inverted_lantern:10","反相紫色灯笼"
"projectred-illumination:inverted_lantern:11","反相蓝色灯笼"
"projectred-illumination:inverted_lantern:12","反相棕色灯笼"
"projectred-illumination:inverted_lantern:13","反相绿色灯笼"
"projectred-illumination:inverted_lantern:14","反相红色灯笼"
"projectred-illumination:inverted_lantern:15","反相黑色灯笼"
"projectred-illumination:fixture_light:0","白色灯具"
"projectred-illumination:fixture_light:1","橙色灯具"
"projectred-illumination:fixture_light:2","品红色灯具"
"projectred-illumination:fixture_light:3","淡蓝色灯具"
"projectred-illumination:fixture_light:4","黄色灯具"
"projectred-illumination:fixture_light:5","黄绿色灯具"
"projectred-illumination:fixture_light:6","粉色灯具"
"projectred-illumination:fixture_light:7","灰色灯具"
"projectred-illumination:fixture_light:8","淡灰色灯具"
"projectred-illumination:fixture_light:9","青色灯具"
"projectred-illumination:fixture_light:10","紫色灯具"
"projectred-illumination:fixture_light:11","蓝色灯具"
"projectred-illumination:fixture_light:12","棕色灯具"
"projectred-illumination:fixture_light:13","绿色灯具"
"projectred-illumination:fixture_light:14","红色灯具"
"projectred-illumination:fixture_light:15","黑色灯具"
"projectred-illumination:inverted_fixture_light:0","反相白色灯具"
"projectred-illumination:inverted_fixture_light:1","反相橙色灯具"
"projectred-illumination:inverted_fixture_light:2","反相品红色灯具"
"projectred-illumination:inverted_fixture_light:3","反相淡蓝色灯具"
"projectred-illumination:inverted_fixture_light:4","反相黄色灯具"
"projectred-illumination:inverted_fixture_light:5","反相黄绿色灯具"
"projectred-illumination:inverted_fixture_light:6","反相粉色灯具"
"projectred-illumination:inverted_fixture_light:7","反相灰色灯具"
"projectred-illumination:inverted_fixture_light:8","反相淡灰色灯具"
"projectred-illumination:inverted_fixture_light:9","反相青色灯具"
"projectred-illumination:inverted_fixture_light:10","反相紫色灯具"
"projectred-illumination:inverted_fixture_light:11","反相蓝色灯具"
"projectred-illumination:inverted_fixture_light:12","反相棕色灯具"
"projectred-illumination:inverted_fixture_light:13","反相绿色灯具"
"projectred-illumination:inverted_fixture_light:14","反相红色灯具"
"projectred-illumination:inverted_fixture_light:15","反相黑色灯具"
"projectred-illumination:fallout_lamp:0","白色罩灯"
"projectred-illumination:fallout_lamp:1","橙色罩灯"
"projectred-illumination:fallout_lamp:2","品红色罩灯"
"projectred-illumination:fallout_lamp:3","淡蓝色罩灯"
"projectred-illumination:fallout_lamp:4","黄色罩灯"
"projectred-illumination:fallout_lamp:5","黄绿色罩灯"
"projectred-illumination:fallout_lamp:6","粉色罩灯"
"projectred-illumination:fallout_lamp:7","灰色罩灯"
"projectred-illumination:fallout_lamp:8","淡灰色罩灯"
"projectred-illumination:fallout_lamp:9","青色罩灯"
"projectred-illumination:fallout_lamp:10","紫色罩灯"
"projectred-illumination:fallout_lamp:11","蓝色罩灯"
"projectred-illumination:fallout_lamp:12","棕色罩灯"
"projectred-illumination:fallout_lamp:13","绿色罩灯"
"projectred-illumination:fallout_lamp:14","红色罩灯"
"projectred-illumination:fallout_lamp:15","黑色罩灯"
"projectred-illumination:inverted_fallout_lamp:0","反相白色罩灯"
"projectred-illumination:inverted_fallout_lamp:1","反相橙色罩灯"
"projectred-illumination:inverted_fallout_lamp:2","反相品红色罩灯"
"projectred-illumination:inverted_fallout_lamp:3","反相淡蓝色罩灯"
"projectred-illumination:inverted_fallout_lamp:4","反相黄色罩灯"
"projectred-illumination:inverted_fallout_lamp:5","反相黄绿色罩灯"
"projectred-illumination:inverted_fallout_lamp:6","反相粉红色罩灯"
"projectred-illumination:inverted_fallout_lamp:7","反相灰色罩灯"
