"tconstruct:fancy_frame:0","平滑展示框"
"tconstruct:fancy_frame:1","铝黄铜展示框"
"tconstruct:fancy_frame:2","钴制展示框"
"tconstruct:fancy_frame:3","阿迪特展示框"
"tconstruct:fancy_frame:4","玛玉灵展示框"
"tconstruct:fancy_frame:5","金制展示框"
"tconstruct:fancy_frame:6","通透展示框"
"tconstruct:wooden_hopper:0","木漏斗"
"minecraft:spawn_egg:0","生成 蓝色史莱姆"
"forge:bucketfilled:0","熔融铁桶"
"forge:bucketfilled:0","熔融金桶"
"forge:bucketfilled:0","熔融生铁桶"
"forge:bucketfilled:0","熔融钴桶"
"forge:bucketfilled:0","熔融阿迪特桶"
"forge:bucketfilled:0","熔融玛玉灵桶"
"forge:bucketfilled:0","熔融骑士史莱姆桶"
"forge:bucketfilled:0","熔融铝黄铜桶"
"forge:bucketfilled:0","熔融黄铜桶"
"forge:bucketfilled:0","熔融铜桶"
"forge:bucketfilled:0","熔融锡桶"
"forge:bucketfilled:0","熔融青铜桶"
"forge:bucketfilled:0","熔融锌桶"
"forge:bucketfilled:0","熔融铅桶"
"forge:bucketfilled:0","熔融镍桶"
"forge:bucketfilled:0","熔融银桶"
"forge:bucketfilled:0","熔融琥珀金桶"
"forge:bucketfilled:0","熔融钢桶"
"forge:bucketfilled:0","熔融铝桶"
"forge:bucketfilled:0","熔融焦黑石头桶"
"forge:bucketfilled:0","熔融黑曜石桶"
"forge:bucketfilled:0","熔融粘土桶"
"forge:bucketfilled:0","液态泥土桶"
"forge:bucketfilled:0","熔融绿宝石桶"
"forge:bucketfilled:0","熔融玻璃桶"
"forge:bucketfilled:0","液态蓝色史莱姆桶"
"forge:bucketfilled:0","液态紫色史莱姆桶"
"tconstruct:book:0","匠魂宝典"
"tconstruct:soil:0","水泥"
"tconstruct:soil:1","绿色黏滑泥泞"
"tconstruct:soil:2","蓝色黏滑泥泞"
"tconstruct:soil:3","黄泉土"
"tconstruct:soil:4","神圣土"
"tconstruct:soil:5","熔岩黏滑泥泞"
"tconstruct:slime:0","绿色史莱姆块"
"tconstruct:slime:1","蓝色史莱姆块"
"tconstruct:slime:2","紫色史莱姆块"
"tconstruct:slime:3","凝血块"
"tconstruct:slime:4","熔岩史莱姆块"
"tconstruct:slime_congealed:0","绿色凝固史莱姆块"
"tconstruct:slime_congealed:1","蓝色凝固史莱姆块"
"tconstruct:slime_congealed:2","紫色凝固史莱姆块"
"tconstruct:slime_congealed:3","凝固血块"
