-<enchantment:ebwizardry:freezing_weapon> - 冰霜灌注 I (at level 1, max level 4, treasure: no, enchant id 37)
-<enchantment:apotheosis:shield_bash> - 盾牌反击 I (at level 1, max level 5, treasure: no, enchant id 63)
-<enchantment:abyssalcraft:light_pierce> - 光之穿刺 I (at level 1, max level 5, treasure: no, enchant id 47)
-<enchantment:minecraft:luck_of_the_sea> - 海之眷顾 I (at level 1, max level 3, treasure: no, enchant id 61)
-<enchantment:minecraft:sweeping> - 横扫之刃 I (at level 1, max level 3, treasure: no, enchant id 22)
-<enchantment:minecraft:thorns> - 荆棘 I (at level 1, max level 3, treasure: no, enchant id 7)
-<enchantment:minecraft:flame> - 火矢 (at level 1, max level 1, treasure: no, enchant id 50)
-<enchantment:minecraft:feather_falling> - 摔落保护 I (at level 1, max level 4, treasure: no, enchant id 2)
-<enchantment:railcraft:destruction> - 拆除 I (at level 1, max level 3, treasure: no, enchant id 28)
-<enchantment:minecraft:binding_curse> - 绑定诅咒 (at level 1, max level 1, treasure: yes, enchant id 10)
-<enchantment:apotheosis:reflective> - 反射防御 I (at level 1, max level 5, treasure: no, enchant id 64)
-<enchantment:minecraftfuture:channeling> - Channeling (at level 1, max level 1, treasure: no, enchant id 41)
-<enchantment:apotheosis:tempting> - 引诱 (at level 1, max level 1, treasure: no, enchant id 60)
-<enchantment:minecraft:projectile_protection> - 弹射物保护 I (at level 1, max level 4, treasure: no, enchant id 4)
-<enchantment:apotheosis:scavenger> - 拾荒者 I (at level 1, max level 3, treasure: no, enchant id 57)
-<enchantment:minecraft:smite> - 亡灵杀手 I (at level 1, max level 5, treasure: no, enchant id 17)
-<enchantment:minecraft:frost_walker> - 冰霜行者 I (at level 1, max level 2, treasure: yes, enchant id 9)
-<enchantment:minecraft:punch> - 冲击 I (at level 1, max level 2, treasure: no, enchant id 49)
-<enchantment:apotheosis:natures_blessing> - 自然祝福 I (at level 1, max level 3, treasure: no, enchant id 68)
-<enchantment:minecraftfuture:impaling> - Impaling I (at level 1, max level 5, treasure: no, enchant id 42)
-<enchantment:abyssalcraft:coralium> - 珊瑚 (at level 1, max level 1, treasure: no, enchant id 45)
-<enchantment:minecraft:sharpness> - 锋利 I (at level 1, max level 5, treasure: no, enchant id 16)
-<enchantment:minecraft:efficiency> - 效率 I (at level 1, max level 5, treasure: no, enchant id 32)
-<enchantment:ebwizardry:magic_protection> - 魔法保护 I (at level 1, max level 4, treasure: no, enchant id 38)
-<enchantment:apotheosis:depth_miner> - 矿工热忱 I (at level 1, max level 7, treasure: no, enchant id 55)
-<enchantment:extrautils2:xu.burnerang> - 回旋燃烧 (at level 1, max level 1, treasure: no, enchant id 13)
-<enchantment:minecraft:lure> - 饵钓 I (at level 1, max level 3, treasure: no, enchant id 62)
-<enchantment:apotheosis:life_mending> - 生命修补 I (at level 1, max level 3, treasure: no, enchant id 58)
-<enchantment:apotheosis:true_infinity> - 极致无限 (at level 1, max level 1, treasure: no, enchant id 73)
-<enchantment:railcraft:implosion> - 克爆 I (at level 1, max level 5, treasure: no, enchant id 27)
-<enchantment:apotheosis:knowledge> - 知识 I (at level 1, max level 3, treasure: no, enchant id 66)
-<enchantment:minecraft:fire_aspect> - 火焰附加 I (at level 1, max level 2, treasure: no, enchant id 20)
-<enchantment:ebwizardry:magic_sword> - 魔力灌注 I (at level 1, max level 4, treasure: no, enchant id 30)
-<enchantment:apotheosis:icy_thorns> - 寒冰荆刺 I (at level 1, max level 3, treasure: no, enchant id 59)
-<enchantment:minecraft:unbreaking> - 耐久 I (at level 1, max level 3, treasure: no, enchant id 34)
-<enchantment:openblocks:last_stand> - 屹立不倒 I (at level 1, max level 2, treasure: no, enchant id 24)
-<enchantment:apotheosis:hell_infusion> - 地狱灌注 I (at level 1, max level 10, treasure: no, enchant id 53)
-<enchantment:ebwizardry:frost_protection> - 冰霜保护 I (at level 1, max level 4, treasure: no, enchant id 39)
-<enchantment:extrautils2:xu.boomereaperang> - 回旋收割 (at level 1, max level 1, treasure: no, enchant id 15)
-<enchantment:minecraft:fortune> - 时运 I (at level 1, max level 3, treasure: no, enchant id 35)
-<enchantment:openblocks:explosive> - 震荡不定 I (at level 1, max level 3, treasure: no, enchant id 23)
-<enchantment:openblocks:flim_flam> - 尔虞我诈 I (at level 1, max level 4, treasure: no, enchant id 25)
-<enchantment:apotheosis:magic_protection> - 魔法保护 I (at level 1, max level 4, treasure: no, enchant id 72)
-<enchantment:railcraft:wrecking> - 破击 I (at level 1, max level 5, treasure: no, enchant id 26)
-<enchantment:extrautils2:xu.bladerang> - 回旋锋利 I (at level 1, max level 5, treasure: no, enchant id 14)
-<enchantment:minecraft:mending> - 经验修补 (at level 1, max level 1, treasure: yes, enchant id 70)
-<enchantment:minecraft:knockback> - 击退 I (at level 1, max level 2, treasure: no, enchant id 19)
-<enchantment:minecraft:fire_protection> - 火焰保护 I (at level 1, max level 4, treasure: no, enchant id 1)
-<enchantment:minecraft:power> - 力量 I (at level 1, max level 5, treasure: no, enchant id 48)
-<enchantment:extrautils2:xu.kaboomerang> - 回旋爆炸 I (at level 1, max level 3, treasure: no, enchant id 11)
-<enchantment:ebwizardry:shock_protection> - 雷电保护 I (at level 1, max level 4, treasure: no, enchant id 40)
-<enchantment:minecraft:aqua_affinity> - 水下速掘 (at level 1, max level 1, treasure: no, enchant id 6)
-<enchantment:apotheosis:mounted_strike> - 骑兵突击 I (at level 1, max level 6, treasure: no, enchant id 54)
-<enchantment:railcraft:smack> - 推车 I (at level 1, max level 4, treasure: no, enchant id 29)
-<enchantment:minecraftfuture:loyalty> - Loyalty I (at level 1, max level 3, treasure: no, enchant id 43)
-<enchantment:apotheosis:berserk> - 狂战士之怒 I (at level 1, max level 4, treasure: no, enchant id 65)
-<enchantment:apotheosis:rebounding> - 回弹 I (at level 1, max level 3, treasure: no, enchant id 69)
-<enchantment:minecraftfuture:riptide> - Riptide I (at level 1, max level 3, treasure: no, enchant id 44)
-<enchantment:minecraft:vanishing_curse> - 消失诅咒 (at level 1, max level 1, treasure: yes, enchant id 71)
