"#ignore rows that start with a '#'"

"#Item format: ""modname:item_name:metadata {nbt_data}"" metadata and {nbt_data} are optional. Can also use crafttweaker formatting (eg. ""<modname:item_name:metadata>.withTag{nbt_data}"")"
"#Fluid format: ""fluid:fluid_name"" where fluid is literal. Can also use crafttweaker formatting"

"#Other configurations found within adminshop.cfg, such as selling price of Forge Energy"
"#See the examples below with the default shop"

"#Category names for buy and sell. Put the category name in each column after the first"
"Buy Category Names:","Exchangeable","Building Materials","Dyed Block","Dye & Ammo","Logs","Misc"
"Sell Category Names:","Exchangeable","Crops","Misc"

"#Modpack Version","v2.0.6","43836"


"#buy  (from player's perspective)","Item/Fluid","Price","Category Index (starting from 0)"

"#Exchangeable"
"buy","iceandfire:sapphire_gem","250","0"
"buy","minecraft:emerald","250","0"
"buy","harvestcraft:creepercookieitem","50","0"
"buy","minecraft:dirt","1","0"
"buy","minecraft:cobble_stone","1","0"

"#Building Materials"
"buy","minecraft:stone:1","2","1"
"buy","minecraft:stone:3","2","1"
"buy","minecraft:stone:5","2","1"
"buy","minecraft:sand","1","1"
"buy","minecraft:sand:1","1.25","1"
"buy","minecraft:sandstone:0","4","1"
"buy","minecraft:red_sandstone:0","5","1"
"buy","minecraft:snow","2","1"
"buy","minecraft:hardened_clay","4","1"
"buy","minecraft:clay","3","1"
"buy","immersiveengineering:stone_decoration:5","10","1"
"buy","immersiveengineering:stone_decoration:7","30","1"
"buy","rustic:slate","2","1"


"buy","iceandfire:pixie_house:0","200","1"
"buy","iceandfire:pixie_house:1","200","1"
"buy","iceandfire:pixie_house:2","200","1"
"buy","iceandfire:pixie_house:3","200","1"
"buy","iceandfire:pixie_house:4","200","1"
"buy","iceandfire:pixie_house:5","200","1"








































"#Dyed Block"
"buy","minecraft:stained_hardened_clay:0","6","2"
"buy","minecraft:stained_hardened_clay:1","6","2"
"buy","minecraft:stained_hardened_clay:2","6","2"
"buy","minecraft:stained_hardened_clay:3","6","2"
"buy","minecraft:stained_hardened_clay:4","6","2"
"buy","minecraft:stained_hardened_clay:5","6","2"
"buy","minecraft:stained_hardened_clay:6","6","2"
"buy","minecraft:stained_hardened_clay:7","6","2"
"buy","minecraft:stained_hardened_clay:8","6","2"
"buy","minecraft:stained_hardened_clay:9","6","2"
"buy","minecraft:stained_hardened_clay:10","6","2"
"buy","minecraft:stained_hardened_clay:11","6","2"
"buy","minecraft:stained_hardened_clay:12","6","2"
"buy","minecraft:stained_hardened_clay:13","6","2"
"buy","minecraft:stained_hardened_clay:14","6","2"
"buy","minecraft:stained_hardened_clay:15","6","2"

"buy","minecraft:wool:0","6","2"
"buy","minecraft:wool:1","6","2"
"buy","minecraft:wool:2","6","2"
"buy","minecraft:wool:3","6","2"
"buy","minecraft:wool:4","6","2"
"buy","minecraft:wool:5","6","2"
"buy","minecraft:wool:6","6","2"
"buy","minecraft:wool:7","6","2"
"buy","minecraft:wool:8","6","2"
"buy","minecraft:wool:9","6","2"
"buy","minecraft:wool:10","6","2"
"buy","minecraft:wool:11","6","2"
"buy","minecraft:wool:12","6","2"
"buy","minecraft:wool:13","6","2"
"buy","minecraft:wool:14","6","2"
"buy","minecraft:wool:15","6","2"

"buy","minecraft:concrete:0","6","2"
"buy","minecraft:concrete:1","6","2"
